DOI,Date,Kind,Title,Authors,Image URL
10.1038/sdata20186,2018-02-27,Article,An open repository for single-cell reconstructions of the brain forest,Masood A. Akram | Sumit Nanda | Giorgio A. Ascoli,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.6/MediaObjects/41597_2018_Article_BFsdata20186_Fig1_HTML.jpg
10.1038/sdata201833,2018-03-06,Data Descriptor,"Survival, gene and metabolite responses of Litoria verreauxii alpina frogs to fungal disease chytridiomycosis",Laura F. Grogan | Jason Mulvenna | Lee F. Skerratt,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.33/MediaObjects/41597_2018_Article_BFsdata201833_Fig1_HTML.jpg
10.1038/sdata201825,2018-03-06,Data Descriptor,Demographic aspects of first names,Konstantinos Tzioumis,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.25/MediaObjects/41597_2018_Article_BFsdata201825_Fig1_HTML.jpg
10.1038/sdata201821,2018-03-06,Data Descriptor,Small RNA-seq analysis of circulating miRNAs to identify phenotypic variability in Friedreich’s ataxia patients,Marta Seco-Cervera | Dayme González-Rodríguez | José Luis García-Giménez,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.21/MediaObjects/41597_2018_Article_BFsdata201821_Fig1_HTML.jpg
10.1038/sdata201830,2018-03-06,Data Descriptor,"ChIP-seq and ChIP-exo profiling of Pol II, H2A.Z, and H3K4me3 in human K562 cells",Zenab F. Mchaourab | Andrea A. Perreault | Bryan J. Venters,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.30/MediaObjects/41597_2018_Article_BFsdata201830_Fig1_HTML.jpg
10.1038/sdata201831,2018-03-06,Data Descriptor,Quantitative mapping of RNA-mediated nuclear estrogen receptor β interactome in human breast cancer cells,Giorgio Giurato | Giovanni Nassa | Roberta Tarallo,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.31/MediaObjects/41597_2018_Article_BFsdata201831_Fig1_HTML.jpg
10.1038/sdata201838,2018-03-13,Data Descriptor,"Pediatric patients at risk for fever in chemotherapy-induced neutropenia in Bern, Switzerland, 1993-2012",Annina N. von Allmen | Maxime G. Zermatten | Roland A. Ammann,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.38/MediaObjects/41597_2018_Article_BFsdata201838_Fig1_HTML.jpg
10.1038/sdata201835,2018-03-13,Data Descriptor,Human pluripotent stem cell derived HLC transcriptome data enables molecular dissection of hepatogenesis,Wasco Wruck | James Adjaye,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.35/MediaObjects/41597_2018_Article_BFsdata201835_Fig1_HTML.jpg
10.1038/sdata201836,2018-03-13,Data Descriptor,Global quantitative analysis of the human brain proteome in Alzheimer’s and Parkinson’s Disease,Lingyan Ping | Duc M. Duong | Nicholas T. Seyfried,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.36/MediaObjects/41597_2018_Article_BFsdata201836_Fig1_HTML.jpg
10.1038/sdata201822,2018-03-13,Data Descriptor,"GlobTherm, a global database on thermal tolerances for aquatic and terrestrial organisms",Joanne M. Bennett | Piero Calosi | Ignacio Morales-Castilla,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.22/MediaObjects/41597_2018_Article_BFsdata201822_Fig1_HTML.jpg
10.1038/sdata201828,2018-03-13,Data Descriptor,Tracking vegetation phenology across diverse North American biomes using PhenoCam imagery,Andrew D. Richardson | Koen Hufkens | Steve Frolking,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.28/MediaObjects/41597_2018_Article_BFsdata201828_Fig1_HTML.jpg
10.1038/sdata201837,2018-03-13,Data Descriptor,A dataset on human navigation strategies in foreign networked systems,Attila Kőrösi | Attila Csoma | András Gulyás,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.37/MediaObjects/41597_2018_Article_BFsdata201837_Fig1_HTML.jpg
10.1038/sdata201847,2018-03-20,Data Descriptor,A genome-scale RNAi screen for genetic interactors of the dynein co-factor nud-2 in Caenorhabditis elegans,Helder Rocha | André F. Maia | Reto Gassmann,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.47/MediaObjects/41597_2018_Article_BFsdata201847_Fig1_HTML.jpg
10.1038/sdata201846,2018-03-20,Article,"DASH, the data and specimen hub of the National Institute of Child Health and Human Development",Rohan Hazra | Susan Tenney | David Songco,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.46/MediaObjects/41597_2018_Article_BFsdata201846_Fig1_HTML.jpg
10.1038/sdata201840,2018-03-20,Data Descriptor,"A suite of global, cross-scale topographic variables for environmental and biodiversity modeling",Giuseppe Amatulli | Sami Domisch | Walter Jetz,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.40/MediaObjects/41597_2018_Article_BFsdata201840_Fig1_HTML.jpg
10.1038/sdata201834,2018-03-20,Data Descriptor,Damage and protection cost curves for coastal floods within the 600 largest European cities,Boris F. Prahl | Markus Boettle | Diego Rybski,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.34/MediaObjects/41597_2018_Article_BFsdata201834_Fig1_HTML.jpg
10.1038/sdata201843,2018-03-20,Analysis,"U-Index, a dataset and an impact metric for informatics tools and databases",Alison Callahan | Rainer Winnenburg | Nigam H Shah,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.43/MediaObjects/41597_2018_Article_BFsdata201843_Fig1_HTML.jpg
10.1038/sdata201852,2018-03-27,Data Descriptor,"FLO1K, global maps of mean, maximum and minimum annual streamflow at 1 km resolution from 1960 through 2015",Valerio Barbarossa | Mark A.J. Huijbregts | Aafke M. Schipper,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.52/MediaObjects/41597_2018_Article_BFsdata201852_Fig1_HTML.jpg
10.1038/sdata201848,2018-03-27,Data Descriptor,"BLOND, a building-level office environment dataset of typical electrical appliances",Thomas Kriechbaumer | Hans-Arno Jacobsen,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.48/MediaObjects/41597_2018_Article_BFsdata201848_Fig1_HTML.jpg
10.1038/sdata201844,2018-03-27,Data Descriptor,A Mediterranean coastal database for assessing the impacts of sea-level rise and associated hazards,Claudia Wolff | Athanasios T. Vafeidis | Jochen Hinkel,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.44/MediaObjects/41597_2018_Article_BFsdata201844_Fig1_HTML.jpg
10.1038/sdata201842,2018-03-27,Data Descriptor,A database linking Chinese patents to China’s census firms,Zi-Lin He | Tony W. Tong | Wenlong He,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.42/MediaObjects/41597_2018_Article_BFsdata201842_Fig1_HTML.jpg
10.1038/sdata201849,2018-03-27,Data Descriptor,A database of the coseismic effects following the 30 October 2016 Norcia earthquake in Central Italy,Fabio Villani | Riccardo Civico | M. Zambrano,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.49/MediaObjects/41597_2018_Article_BFsdata201849_Fig1_HTML.jpg
10.1038/sdata201853,2018-04-03,Article,An open experimental database for exploring inorganic materials,Andriy Zakutayev | Nick Wunder | Caleb Phillips,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.53/MediaObjects/41597_2018_Article_BFsdata201853_Fig1_HTML.jpg
10.1038/sdata201856,2018-04-03,Data Descriptor,Spatial distribution of arable and abandoned land across former Soviet Union countries,Myroslava Lesiv | Dmitry Schepaschenko | Steffen Fritz,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.56/MediaObjects/41597_2018_Article_BFsdata201856_Fig1_HTML.jpg
10.1038/sdata201851,2018-04-03,Data Descriptor,The natural variance of the Arabidopsis floral secondary metabolites,Takayuki Tohge | Monica Borghi | Alisdair R.  Fernie,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.51/MediaObjects/41597_2018_Article_BFsdata201851_Fig1_HTML.jpg
10.1038/sdata201859,2018-04-10,Data Descriptor,Long-term dataset on aquatic responses to concurrent climate change and recovery from acidification,Taylor H. Leach | Luke A. Winslow | Kevin C. Rose,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.59/MediaObjects/41597_2018_Article_BFsdata201859_Fig1_HTML.jpg
10.1038/sdata201855,2018-04-10,Data Descriptor,Massively parallel recordings in macaque motor cortex during an instructed delayed reach-to-grasp task,Thomas Brochier | Lyuba Zehl | Alexa Riehle,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.55/MediaObjects/41597_2018_Article_BFsdata201855_Fig1_HTML.jpg
10.1038/sdata201864,2018-04-10,Article,A data discovery index for the social sciences,Thomas Krämer | Claus-Peter Klas | Brigitte Hausstein,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.64/MediaObjects/41597_2018_Article_BFsdata201864_Fig1_HTML.jpg
10.1038/sdata201862,2018-04-10,Data Descriptor,"The Alexandria library, a quantum-chemical database of molecular properties for force field development",Mohammad M. Ghahremanpour | Paul J. van Maaren | David van der Spoel,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.62/MediaObjects/41597_2018_Article_BFsdata201862_Fig1_HTML.jpg
10.1038/sdata201858,2018-04-10,Data Descriptor,Tundra landform and vegetation productivity trend maps for the Arctic Coastal Plain of northern Alaska,Mark J. Lara | Ingmar Nitze | A. David McGuire,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.58/MediaObjects/41597_2018_Article_BFsdata201858_Fig1_HTML.jpg
10.1038/sdata201857,2018-04-10,Data Descriptor,Ensemble of European regional climate simulations for the winter of 2013 and 2014 from HadAM3P-RM3P,Nathalie Schaller | Sarah N. Sparrow | Friederike E.L. Otto,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.57/MediaObjects/41597_2018_Article_BFsdata201857_Fig1_HTML.jpg
10.1038/sdata201854,2018-04-17,Data Descriptor,"Regional surveys of macrobenthic shelf invertebrate communities in Onslow Bay, North Carolina, U.S.A.",Carrie L. Tyler | Michał Kowalewski,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.54/MediaObjects/41597_2018_Article_BFsdata201854_Fig1_HTML.jpg
10.1038/sdata201861,2018-04-17,Data Descriptor,Unifying cancer and normal RNA sequencing data from different sources,Qingguo Wang | Joshua Armenia | Nikolaus Schultz,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.61/MediaObjects/41597_2018_Article_BFsdata201861_Fig1_HTML.jpg
10.1038/sdata201866,2018-04-17,Data Descriptor,Curated compendium of human transcriptional biomarker data,Nathan P. Golightly | Avery Bell | Stephen R. Piccolo,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.66/MediaObjects/41597_2018_Article_BFsdata201866_Fig1_HTML.jpg
10.1038/sdata201860,2018-04-17,Data Descriptor,A prototypic small molecule database for bronchoalveolar lavage-based metabolomics,Scott Walmsley | Charmion Cruickshank-Quinn | Nichole Reisdorph,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.60/MediaObjects/41597_2018_Article_BFsdata201860_Fig1_HTML.jpg
10.1038/sdata201863,2018-04-17,Data Descriptor,A high-resolution probabilistic in vivo atlas of human subcortical brain nuclei,Wolfgang M. Pauli | Amanda N. Nili | J. Michael Tyszka,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.63/MediaObjects/41597_2018_Article_BFsdata201863_Fig1_HTML.jpg
10.1038/sdata201875,2018-04-24,Data Descriptor,Wide-field corneal subbasal nerve plexus mosaics in age-controlled healthy and type 2 diabetes populations,Neil S. Lagali | Stephan Allgeier | Olov Rolandsson,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.75/MediaObjects/41597_2018_Article_BFsdata201875_Fig1_HTML.jpg
10.1038/sdata201873,2018-04-24,Data Descriptor,Spatiotemporal incidence of Zika and associated environmental drivers for the 2015-2016 epidemic in Colombia,Amir S. Siraj | Isabel Rodriguez-Barraquer | T. Alex Perkins,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.73/MediaObjects/41597_2018_Article_BFsdata201873_Fig1_HTML.jpg
10.1038/sdata201867,2018-04-24,Data Descriptor,"High-resolution reconstruction of the United States human population distribution, 1790 to 2010",Yu Fang | James W. Jawitz,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.67/MediaObjects/41597_2018_Article_BFsdata201867_Fig1_HTML.jpg
10.1038/sdata201874,2018-04-24,Data Descriptor,A mobile brain-body imaging dataset recorded during treadmill walking with a brain-computer interface,Yongtian He | Trieu Phat Luu | Jose L. Contreras-Vidal,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.74/MediaObjects/41597_2018_Article_BFsdata201874_Fig1_HTML.jpg
10.1038/sdata201868,2018-04-24,Data Descriptor,The effects of sequencing platforms on phylogenetic resolution in 16 S rRNA gene profiling of human feces,Tae Woong Whon | Won-Hyong Chung | Young-Do Nam,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.68/MediaObjects/41597_2018_Article_BFsdata201868_Fig1_HTML.jpg
10.1038/sdata201877,2018-04-24,Data Descriptor,109 years of forest growth measurements from individual Norway spruce trees,Georg E. Kindermann | Ferdinand Kristöfel | Silvio Schueler,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.77/MediaObjects/41597_2018_Article_BFsdata201877_Fig1_HTML.jpg
10.1038/sdata201871,2018-04-24,Data Descriptor,"DataTri, a database of American triatomine species occurrence",Soledad Ceccarelli | Agustín Balsalobre | Jorge E Rabinovich,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.71/MediaObjects/41597_2018_Article_BFsdata201871_Fig1_HTML.jpg
10.1038/sdata201865,2018-05-01,Data Descriptor,High-throughput density-functional perturbation theory phonons for inorganic materials,Guido Petretto | Shyam Dwaraknath | Gian-Marco Rignanese,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.65/MediaObjects/41597_2018_Article_BFsdata201865_Fig1_HTML.jpg
10.1038/sdata201876,2018-05-01,Analysis,An optimal filter for short photoplethysmogram signals,Yongbo Liang | Mohamed Elgendi | Rabab Ward,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.76/MediaObjects/41597_2018_Article_BFsdata201876_Fig1_HTML.jpg
10.1038/sdata201879,2018-05-02,Data Descriptor,"Novel sequences, structural variations and gene presence variations of Asian cultivated rice",Zhiqiang Hu | Wensheng Wang | Zhikang Li,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.79/MediaObjects/41597_2018_Article_BFsdata201879_Fig1_HTML.jpg
10.1038/sdata201885,2018-05-08,Data Descriptor,Time series dataset of fish assemblages near thermal discharges at nuclear power plants in northern Taiwan,Hungyen Chen | Ching-Yi Chen | Kwang-Tsao Shao,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.85/MediaObjects/41597_2018_Article_BFsdata201885_Fig1_HTML.jpg
10.1038/sdata201829,2018-05-08,Article,Uniform resolution of compact identifiers for biomedical data,Sarala M. Wimalaratne | Nick Juty | Tim Clark,
10.1038/sdata201882,2018-05-08,Data Descriptor,Computational screening of high-performance optoelectronic materials using OptB88vdW and TB-mBJ formalisms,Kamal Choudhary | Qin Zhang | Francesca Tavazza,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.82/MediaObjects/41597_2018_Article_BFsdata201882_Fig1_HTML.jpg
10.1038/sdata201872,2018-05-15,Article,"The electronic Rothamsted Archive (e-RA), an online resource for data from the Rothamsted long-term experiments",Sarah A. M. Perryman | Nathalie I. D. Castells-Brooke | Paul J. Verrier,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.72/MediaObjects/41597_2018_Article_BFsdata201872_Fig1_HTML.jpg
10.1038/sdata201889,2018-05-15,Data Descriptor,A collection of public transport network data sets for 25 cities,Rainer Kujala | Christoffer Weckström | Jari Saramäki,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.89/MediaObjects/41597_2018_Article_BFsdata201889_Fig1_HTML.jpg
10.1038/sdata201881,2018-05-15,Data Descriptor,A multi-phenotypic imaging screen to identify bacterial effectors by exogenous expression in a HeLa cell line,Adam Collins | Alan Huett,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.81/MediaObjects/41597_2018_Article_BFsdata201881_Fig1_HTML.jpg
10.1038/sdata201884,2018-05-15,Data Descriptor,A pair of datasets for microRNA expression profiling to examine the use of careful study design for assigning arrays to samples,Li-Xuan Qin | Huei-Chung Huang | Douglas A. Levine,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.84/MediaObjects/41597_2018_Article_BFsdata201884_Fig1_HTML.jpg
10.1038/sdata201891,2018-05-15,Data Descriptor,"HYSOGs250m, global gridded hydrologic soil groups for curve-number-based runoff modeling",C. Wade Ross | Lara Prihodko | Niall P. Hanan,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.91/MediaObjects/41597_2018_Article_BFsdata201891_Fig1_HTML.jpg
10.1038/sdata201883,2018-05-15,Data Descriptor,Field-recorded data on the diet of six species of European Hydromantes cave salamanders,Enrico Lunghi | Fabio Cianferoni | Claudia Corti,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.83/MediaObjects/41597_2018_Article_BFsdata201883_Fig1_HTML.jpg
10.1038/sdata201869,2018-05-22,Data Descriptor,The draft genome sequence of cork oak,António Marcos Ramos | Ana Usié | Sónia Gonçalves,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.69/MediaObjects/41597_2018_Article_BFsdata201869_Fig1_HTML.jpg
10.1038/sdata201896,2018-05-22,Data Descriptor,"The asthma mobile health study, smartphone data collected using ResearchKit",Yu-Feng Yvonne Chan | Brian M. Bot | Pei Wang,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.96/MediaObjects/41597_2018_Article_BFsdata201896_Fig1_HTML.jpg
10.1038/sdata201890,2018-05-22,Data Descriptor,"Gridded birth and pregnancy datasets for Africa, Latin America and the Caribbean",W.H.M. James | N. Tejedor-Garavito | A.J. Tatem,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.90/MediaObjects/41597_2018_Article_BFsdata201890_Fig1_HTML.jpg
10.1038/sdata201886,2018-05-22,Data Descriptor,A reconstruction of global hydroclimate and dynamical variables over the Common Era,Nathan J. Steiger | Jason E. Smerdon | Benjamin I. Cook,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.86/MediaObjects/41597_2018_Article_BFsdata201886_Fig1_HTML.jpg
10.1038/sdata201897,2018-05-22,Data Descriptor,"HormoneBase, a population-level database of steroid hormone levels across vertebrates",Maren N. Vitousek | Michele A. Johnson | Tony D. Williams,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.97/MediaObjects/41597_2018_Article_BFsdata201897_Fig1_HTML.jpg
10.1038/sdata2018100,2018-05-29,Data Descriptor,Micro-computed tomography reconstructions of tibiae of stem cell transplanted osteogenesis imperfecta mice,Anna M. Ranzoni | Michelangelo Corcelli | Pascale V. Guillot,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.100/MediaObjects/41597_2018_Article_BFsdata2018100_Fig1_HTML.jpg
10.1038/sdata201899,2018-05-29,Data Descriptor,A Research Graph dataset for connecting research data repositories using RD-Switchboard,Amir Aryani | Marta Poblet | Samuele Kaplun,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.99/MediaObjects/41597_2018_Article_BFsdata201899_Fig1_HTML.jpg
10.1038/sdata2018102,2018-05-29,Data Descriptor,"3D scans, angles of repose and bulk densities of 108 bulk material heaps",Michael Rackl | Florian E. Grötsch,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.102/MediaObjects/41597_2018_Article_BFsdata2018102_Fig1_HTML.jpg
10.1038/sdata201888,2018-05-29,Data Descriptor,A database of biological and geomorphological sea-level markers from the Last Glacial Maximum to present,F.D. Hibbert | F.H. Williams | E.J. Rohling,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.88/MediaObjects/41597_2018_Article_BFsdata201888_Fig1_HTML.jpg
10.1038/sdata2018101,2018-05-29,Data Descriptor,"Human grasping database for activities of daily living with depth, color and kinematic data streams",Artur Saudabayev | Zhanibek Rysbek | Huseyin Atakan Varol,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.101/MediaObjects/41597_2018_Article_BFsdata2018101_Fig1_HTML.jpg
10.1038/sdata201845,2018-05-29,Data Descriptor,SEEG initiative estimates of Brazilian greenhouse gas emissions from 1970 to 2015,Tasso Rezende de Azevedo | Ciniro Costa Junior | Roberto Kishinami,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.45/MediaObjects/41597_2018_Article_BFsdata201845_Fig1_HTML.jpg
10.1038/sdata2018103,2018-06-05,Data Descriptor,"Global gene expression profiling for fruit organs and pathogen infections in the pepper, Capsicum annuum L.",Myung-Shin Kim | Seungill Kim | Doil Choi,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.103/MediaObjects/41597_2018_Article_BFsdata2018103_Fig1_HTML.jpg
10.1038/sdata2018108,2018-06-05,Data Descriptor,Freshwater macroinvertebrate samples from a water quality monitoring network in the Iberian Peninsula,Nora Escribano | Javier Oscoz | Arturo H. Ariño,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.108/MediaObjects/41597_2018_Article_BFsdata2018108_Fig1_HTML.jpg
10.1038/sdata201893,2018-06-05,Data Descriptor,Characterization of ladybird Henosepilachna vigintioctopunctata transcriptomes across various life stages,Qi-Lin Zhang | Feng Wang | Lian-Bing Lin,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.93/MediaObjects/41597_2018_Article_BFsdata201893_Fig1_HTML.jpg
10.1038/sdata2018105,2018-06-12,Data Descriptor,"Individual Brain Charting, a high-resolution fMRI dataset for cognitive mapping",Ana Luísa Pinho | Alexis Amadon | Bertrand Thirion,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.105/MediaObjects/41597_2018_Article_BFsdata2018105_Fig1_HTML.jpg
10.1038/sdata2018106,2018-06-12,Data Descriptor,Pharmacological and genomic profiling of neurofibromatosis type 1 plexiform neurofibroma-derived schwann cells,Marc Ferrer | Sara J. C. Gosline | Jaishri O. Blakeley,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.106/MediaObjects/41597_2018_Article_BFsdata2018106_Fig1_HTML.jpg
10.1038/sdata2018104,2018-06-12,Data Descriptor,"PubMed Phrases, an open set of coherent phrases for searching biomedical literature",Sun Kim | Lana Yeganova | Zhiyong Lu,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.104/MediaObjects/41597_2018_Article_BFsdata2018104_Fig1_HTML.jpg
10.1038/sdata2018107,2018-06-19,Data Descriptor,Warping an atlas derived from serial histology to 5 high-resolution MRIs,Stephanie Tullo | Gabriel A. Devenyi | M. Mallar Chakravarty,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.107/MediaObjects/41597_2018_Article_BFsdata2018107_Fig1_HTML.jpg
10.1038/sdata2018119,2018-06-19,Data Descriptor,Transcriptome-wide survey of pseudorabies virus using next- and third-generation sequencing platforms,Dóra Tombácz | Donald Sharon | Zsolt Boldogkői,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.119/MediaObjects/41597_2018_Article_BFsdata2018119_Fig1_HTML.jpg
10.1038/sdata2018117,2018-06-19,Article,Sustainable data and metadata management at the BD2K-LINCS Data Coordination and Integration Center,Vasileios Stathias | Amar Koleti | Stephan C. Schürer,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.117/MediaObjects/41597_2018_Article_BFsdata2018117_Fig1_HTML.jpg
10.1038/sdata2018111,2018-06-19,Data Descriptor,Auto-generated materials database of Curie and Néel temperatures via semi-supervised relationship extraction,Callum J. Court | Jacqueline M. Cole,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.111/MediaObjects/41597_2018_Article_BFsdata2018111_Fig1_HTML.jpg
10.1038/sdata2018115,2018-06-19,Data Descriptor,"Seamless bathymetry and topography datasets for New South Wales, Australia",Kaya M. Wilson | Hannah E. Power,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.115/MediaObjects/41597_2018_Article_BFsdata2018115_Fig1_HTML.jpg
10.1038/sdata2018123,2018-06-26,Data Descriptor,Transcriptional profiling of stellate ganglia from normotensive and spontaneously hypertensive rat strains,Harvey Davis | Emma N. Bardsley | David J. Paterson,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.123/MediaObjects/41597_2018_Article_BFsdata2018123_Fig1_HTML.jpg
10.1038/sdata2018116,2018-06-26,Data Descriptor,High content screen for identifying small-molecule LC3B-localization modulators in a renal cancer cell line,Likhitha Kolla | David S. Heo | William J. Buchser,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.116/MediaObjects/41597_2018_Article_BFsdata2018116_Fig1_HTML.jpg
10.1038/sdata2018124,2018-06-26,Data Descriptor,Time-lapse imagery and volunteer classifications from the Zooniverse Penguin Watch project,Fiona M. Jones | Campbell Allen | Tom Hart,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.124/MediaObjects/41597_2018_Article_BFsdata2018124_Fig1_HTML.jpg
10.1038/sdata2018120,2018-06-26,Data Descriptor,"Emotional ratings and skin conductance response to visual, auditory and haptic stimuli",Elia Gatti | Elena Calzolari | Marianna Obrist,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.120/MediaObjects/41597_2018_Article_BFsdata2018120_Fig1_HTML.jpg
10.1038/sdata2018122,2018-07-03,Data Descriptor,"OceanRAIN, a new in-situ shipboard global ocean surface-reference dataset of all water cycle components",Christian Klepp | Simon Michel | Stefan A. Buehler,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.122/MediaObjects/41597_2018_Article_BFsdata2018122_Fig1_HTML.jpg
10.1038/sdata2018113,2018-07-03,Data Descriptor,Smart subsidies for catchment conservation in Malawi,Andrew Reid Bell | Patrick S. Ward | Edwin Kenamu,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.113/MediaObjects/41597_2018_Article_BFsdata2018113_Fig1_HTML.jpg
10.1038/sdata201887,2018-07-03,Data Descriptor,A quasi-experimental study of impacts of Tanzania’s wildlife management areas on rural livelihoods and wealth,Jevgeniy Bluwstein | Katherine Homewood | Aidan Keane,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2018.87/MediaObjects/41597_2018_Article_BFsdata201887_Fig1_HTML.jpg
